station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,year_month
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170102,7.16,31.1,25.16,8.052984,360.0,42.949248,1.4960638,0.0,0.0787402,2017010
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170115,21.2,39.02,29.12,6.039738,360.0,17.000744,0.0,0.0,0.0,2017011
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170116,16.16,37.04,32.36,12.079476,360.0,31.093466,0.0,0.0,0.0,2017011
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170213,23.18,46.94,34.34,11.408394,360.0,27.96175,0.0,0.0,0.0,2017021
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170323,35.06,69.98,53.96,15.65858,360.0,46.97574,0.0,0.0,0.0,2017032
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170324,30.2,51.08,40.28,14.987498,360.0,48.09421,0.0,0.0,0.01181103,2017032
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170404,25.16,37.94,32.18,11.855782,360.0,31.093466,0.0,0.0,0.0,2017040
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170508,44.96,53.96,52.16,10.513618,360.0,33.106712,0.0,0.0,0.0393701,2017050
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170510,42.98,50.0,48.02,12.526864,360.0,33.106712,0.0,0.0,0.05905515,2017051
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170526,35.06,60.08,47.84,11.632088,360.0,33.106712,0.0,0.0,0.35826791,2017052
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170527,39.02,57.02,47.3,11.632088,360.0,33.106712,0.0,0.0,0.01181103,2017052
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170528,39.02,64.94,51.62,12.974252,360.0,34.001488,0.0,0.0,0.0,2017052
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170630,46.94,73.94,57.56,6.71082,360.0,19.01399,0.0,0.0,0.0,2017063
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170802,55.94,80.96,68.54,12.30317,360.0,31.988242,0.0,0.0,0.0,2017080
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170805,53.06,82.04,67.82,8.724066,360.0,36.014734,0.0,0.0,0.75196891,2017080
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170904,51.08,80.06,67.64,11.408394,360.0,38.02798,0.0,0.0,0.0,2017090
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170509,39.92,60.08,50.36,4.250186,360.0,17.000744,,,0.01968505,2017050
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170829,51.98,96.08,72.32,2.908022,360.0,19.908766,,,0.0,2017082
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170328,33.08,42.08,37.76,11.1847,360.0,31.988242,,,0.0,2017032
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170404,18.14,37.94,31.1,9.618842,360.0,27.96175,,,0.09842525,2017040
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170602,44.06,73.94,60.62,11.632088,360.0,29.974996,,,0.0,2017060
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170714,53.06,91.04,74.12,8.052984,360.0,29.974996,,,0.0,2017071
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170729,60.08,78.98,69.26,7.605596,360.0,31.093466,,,0.0787402,2017072
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170403,27.14,41.0,34.16,7.158208,360.0,23.040482,1.1023628,0.0,0.16141741,2017040
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170527,39.02,62.96,48.38,6.71082,360.0,33.106712,0.0,0.0,0.0,2017052
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170706,57.02,96.08,78.44,6.71082,360.0,51.002232,0.0,0.0,0.0393701,2017070
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170707,50.0,93.92,72.32,7.82929,360.0,31.988242,0.0,0.0,0.0,2017070
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170825,53.06,87.98,71.24,10.289924,360.0,27.96175,0.0,0.0,0.0,2017082
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170124,11.12,31.1,25.34,10.737312,350.0,29.974996,0.0,1.181103,0.0,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170214,21.2,44.06,33.26,11.408394,350.0,29.08022,0.0,0.0,0.0,2017021
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170329,33.98,53.06,39.38,12.30317,350.0,31.988242,0.0,0.0,0.0,2017032
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170503,32.0,51.98,40.82,11.632088,350.0,35.119958,0.393701,0.0,0.16141741,2017050
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170504,32.0,68.0,48.38,9.618842,350.0,27.96175,0.0,0.0,0.0,2017050
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170806,51.98,66.92,59.0,7.605596,350.0,31.988242,0.0,0.0,0.14960638,2017080
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170408,41.0,62.06,53.96,6.263432,350.0,25.948504,,,0.03149608,2017040
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170527,35.06,69.98,52.34,11.408394,350.0,33.106712,,,0.0,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170624,44.06,75.02,59.18,5.144962,350.0,23.040482,,,0.0,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170826,48.92,89.06,70.34,8.276678,350.0,31.093466,,,0.0,2017082
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170116,-3.82,20.12,10.94,2.908022,350.0,10.961006,,,0.0,2017011
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170523,29.12,64.04,43.34,7.82929,350.0,25.948504,,,0.0,2017052
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170629,42.98,77.0,63.32,13.645334,350.0,46.080964,,,0.0,2017062
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170706,51.98,91.94,75.2,7.82929,350.0,38.922756,,,0.0,2017070
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170716,48.92,93.02,72.68,6.039738,350.0,35.119958,,,0.0,2017071
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170720,55.94,89.06,69.98,9.171454,350.0,38.02798,,,0.01181103,2017072
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170808,51.08,78.98,63.68,6.71082,350.0,36.014734,,,0.25984266,2017080
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170829,48.02,89.96,67.82,5.816044,350.0,21.922012,,,0.0,2017082
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170102,0.14,13.1,12.38,7.82929,350.0,23.040482,1.4173236,1.181103,0.05905515,2017010
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170320,33.98,62.06,48.38,8.500372,350.0,25.053728,0.0,0.0,0.05905515,2017032
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170323,32.0,50.0,44.42,10.289924,350.0,31.988242,0.0,0.0,0.01968505,2017032
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170710,57.02,89.06,72.32,7.158208,350.0,25.053728,0.0,0.0,0.0,2017071
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170711,51.08,93.02,74.48,11.632088,350.0,40.936002,0.0,0.0,0.0,2017071
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170117,11.12,51.98,28.04,8.500372,340.0,19.908766,0.0,0.0,0.0,2017011
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170402,28.22,55.04,41.54,11.855782,340.0,38.02798,0.0,0.0,0.09055123,2017040
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170501,37.04,53.96,43.88,9.618842,340.0,31.988242,0.0,0.0,0.07086618,2017050
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170729,57.92,78.98,69.44,7.82929,340.0,27.066974,0.0,0.0,0.1181103,2017072
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170801,55.94,87.08,70.34,8.724066,340.0,31.093466,0.0,0.0,0.0,2017080
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170808,53.96,75.92,60.98,10.06623,340.0,29.974996,0.0,0.0,0.0,2017080
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170809,53.96,75.02,63.86,9.618842,340.0,29.974996,0.0,0.0,0.01968505,2017080
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170416,25.16,55.94,40.82,4.921268,340.0,23.935258,,,0.0,2017041
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170425,32.0,39.02,37.04,7.381902,340.0,19.01399,,,1.70866234,2017042
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170614,48.02,73.94,59.36,5.816044,340.0,27.066974,,,0.05118113,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170617,46.04,69.98,60.26,13.869028,340.0,36.90951,,,0.0393701,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170623,39.02,69.98,57.38,9.395148,340.0,29.08022,,,0.0,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170625,41.0,78.98,61.34,4.921268,340.0,19.01399,,,0.0,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170630,42.98,78.08,60.08,4.250186,340.0,19.908766,,,0.0,2017063
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170721,57.02,91.04,75.02,6.487126,340.0,25.948504,,,0.0,2017072
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170724,57.92,96.98,78.98,6.934514,340.0,25.053728,,,0.0,2017072
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170808,46.94,86.0,67.1,6.934514,340.0,23.040482,,,0.0,2017080
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170903,50.0,89.06,71.96,7.381902,340.0,29.974996,,,0.0,2017090
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170916,35.06,48.02,42.62,5.144962,340.0,19.908766,,,0.0393701,2017091
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170521,35.06,57.92,46.22,5.144962,340.0,29.08022,,,0.0,2017052
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170607,46.04,82.94,62.6,5.816044,340.0,35.119958,,,0.0,2017060
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170620,46.94,91.04,69.62,8.724066,340.0,36.90951,,,0.0,2017062
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170730,53.06,84.02,66.92,6.487126,340.0,23.040482,,,0.0,2017073
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170812,48.92,80.96,63.68,10.513618,340.0,44.067718,,,0.0,2017081
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170112,4.1,21.2,11.48,5.59235,340.0,18.119214,0.0,0.0,0.0,2017011
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170402,32.0,46.04,38.66,8.724066,340.0,23.040482,0.9055123,1.181103,0.27952771,2017040
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170427,32.0,46.94,40.1,9.395148,340.0,23.040482,0.1181103,0.0,0.22047256,2017042
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170501,31.1,51.98,41.18,8.276678,340.0,23.935258,0.0,0.0,0.18110246,2017050
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170521,37.04,60.08,47.66,7.158208,340.0,34.001488,0.0,0.0,0.01968505,2017052
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170720,60.08,95.0,78.08,10.737312,340.0,42.949248,0.0,0.0,0.0,2017072
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170120,23.18,39.02,35.06,10.737312,330.0,27.96175,0.0,0.0,0.01181103,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170125,9.14,22.1,15.44,16.329662,330.0,38.02798,0.0,1.181103,0.0,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170403,30.2,50.0,40.46,16.553356,330.0,44.067718,0.0,0.0,0.0,2017040
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170405,24.26,51.98,34.88,12.30317,330.0,38.922756,0.0,0.0,0.0,2017040
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170425,27.14,51.08,42.26,15.211192,330.0,38.02798,0.0,0.0,0.01181103,2017042
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170523,35.96,57.02,44.24,13.197946,330.0,31.093466,0.0,0.0,0.0,2017052
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170611,55.04,73.94,64.04,13.197946,330.0,35.119958,0.0,0.0,0.0,2017061
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170618,46.94,82.04,61.7,8.052984,330.0,31.988242,0.0,0.0,0.0,2017061
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170721,60.08,89.06,74.84,10.737312,330.0,40.041226,0.0,0.0,0.07086618,2017072
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170817,51.98,82.04,65.48,9.618842,330.0,42.054472,0.0,0.0,0.0,2017081
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170824,55.94,84.02,69.44,7.381902,330.0,33.106712,0.0,0.0,0.0,2017082
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170825,53.96,84.92,69.26,10.737312,330.0,29.08022,0.0,0.0,0.0,2017082
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170213,20.12,44.06,29.84,8.276678,330.0,18.119214,,,0.0,2017021
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170214,21.2,51.98,32.72,7.381902,330.0,18.119214,,,0.0,2017021
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170312,22.1,48.02,36.86,10.513618,330.0,33.106712,,,0.03149608,2017031
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170325,37.94,53.06,46.4,7.605596,330.0,19.908766,,,0.33070884,2017032
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170327,33.98,62.06,47.66,5.368656,330.0,14.987498,,,0.0,2017032
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170404,24.26,46.94,36.14,11.408394,330.0,35.119958,,,0.0,2017040
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170405,23.18,59.0,39.2,7.158208,330.0,27.96175,,,0.0,2017040
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170424,33.98,59.0,50.54,5.368656,330.0,21.922012,,,0.55905542,2017042
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170513,42.98,66.92,59.36,10.513618,330.0,38.02798,,,0.03149608,2017051
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170521,42.98,64.04,54.32,12.30317,330.0,36.90951,,,0.0,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170522,39.02,60.98,52.16,10.737312,330.0,29.974996,,,0.0787402,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170528,46.94,71.96,61.16,14.54011,330.0,53.015478,,,0.0,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170529,39.92,71.06,57.74,9.618842,330.0,31.093466,,,0.0,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170618,44.96,75.02,59.0,8.052984,330.0,29.974996,,,0.0,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170621,55.04,84.02,69.62,6.487126,330.0,25.948504,,,0.0,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170622,50.0,75.02,67.28,12.526864,330.0,33.106712,,,0.0,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170627,51.08,80.96,68.36,8.500372,330.0,35.119958,,,0.01181103,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170628,46.94,82.94,64.76,7.158208,330.0,35.119958,,,0.07086618,2017062
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170711,53.96,89.96,71.24,5.368656,330.0,38.922756,,,0.01968505,2017071
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170727,55.94,91.04,72.86,5.816044,330.0,38.02798,,,0.01181103,2017072
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170728,55.04,93.02,73.58,4.47388,330.0,19.908766,,,0.0,2017072
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170819,51.08,87.08,69.98,4.026492,330.0,21.922012,,,0.0,2017081
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170820,46.94,87.98,66.38,5.59235,330.0,19.01399,,,0.0,2017082
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170901,51.08,84.02,71.78,9.842536,330.0,31.988242,,,0.0,2017090
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170915,41.0,48.92,49.28,9.395148,330.0,23.040482,,,0.79921303,2017091
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170520,26.24,57.02,39.56,8.500372,330.0,23.935258,,,0.0,2017052
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170522,30.2,60.98,42.98,9.618842,330.0,40.041226,,,0.05905515,2017052
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170527,35.06,59.0,46.04,10.06623,330.0,25.053728,,,0.03149608,2017052
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170604,42.08,82.94,64.22,6.263432,330.0,19.908766,,,0.0,2017060
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170704,46.04,91.04,70.34,7.82929,330.0,29.974996,,,0.0,2017070
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170528,39.92,69.08,52.7,10.513618,330.0,33.106712,0.0,0.0,0.12992133,2017052
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170127,8.24,33.08,18.32,19.237684,320.0,44.962494,0.0,0.0,0.0,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170417,32.0,66.92,50.0,10.961006,320.0,25.948504,0.0,0.0,0.0,2017041
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170430,26.24,55.04,36.32,19.685072,320.0,50.107456,0.0,0.0,0.0,2017043
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170710,59.0,87.98,74.66,9.171454,320.0,44.962494,0.0,0.0,0.05118113,2017071
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170722,57.92,84.92,70.52,9.171454,320.0,25.948504,0.0,0.0,0.0,2017072
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170829,53.96,87.98,70.52,6.934514,320.0,38.02798,0.0,0.0,0.0,2017082
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170901,55.04,84.02,68.0,10.513618,320.0,31.988242,0.0,0.0,0.0,2017090
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170101,-2.74,18.14,7.52,9.171454,320.0,27.96175,,,0.0,2017010
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170131,15.26,32.0,28.76,7.605596,320.0,27.96175,,,0.50000027,2017013
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170211,19.22,42.98,37.4,11.632088,320.0,40.041226,,,0.0,2017021
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170228,13.1,39.02,26.24,10.513618,320.0,36.90951,,,0.0,2017022
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170308,16.16,50.0,27.86,9.395148,320.0,31.093466,,,0.0,2017030
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170403,31.1,46.04,38.48,15.434886,320.0,35.119958,,,0.07086618,2017040
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170417,35.06,71.96,48.38,9.395148,320.0,63.976484,,,0.0,2017041
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170419,35.96,57.92,50.36,14.763804,320.0,48.988986,,,0.05905515,2017041
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170502,37.04,53.96,44.06,8.276678,320.0,42.949248,,,0.01181103,2017050
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170508,44.96,57.02,53.06,6.934514,320.0,27.96175,,,0.0,2017050
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170515,42.08,68.0,55.94,9.842536,320.0,29.08022,,,0.0393701,2017051
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170520,30.2,64.94,46.4,7.158208,320.0,25.948504,,,0.0,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170525,39.02,60.08,54.32,14.316416,320.0,42.054472,,,0.0,2017052
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170602,48.92,75.02,69.08,5.144962,320.0,23.935258,,,0.0,2017060
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170605,51.08,82.04,68.18,9.395148,320.0,25.948504,,,0.01181103,2017060
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170609,53.06,84.92,74.48,9.395148,320.0,36.90951,,,0.0,2017060
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170610,50.0,75.02,62.42,7.605596,320.0,23.935258,,,0.05905515,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170611,51.98,71.06,60.08,6.934514,320.0,27.066974,,,0.25984266,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170615,44.96,75.02,60.44,4.026492,320.0,17.000744,,,0.0,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170616,51.98,69.08,62.06,4.697574,320.0,18.119214,,,0.0787402,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170619,51.08,78.98,66.56,7.82929,320.0,21.922012,,,0.0,2017061
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170702,50.0,89.06,69.62,4.697574,320.0,18.119214,,,0.0,2017070
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170704,60.98,93.02,78.26,5.368656,320.0,25.053728,,,0.0,2017070
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170709,57.92,100.04,80.06,7.381902,320.0,46.080964,,,0.0,2017070
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170718,53.96,91.04,72.14,3.579104,320.0,14.987498,,,0.0,2017071
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170725,57.92,75.92,72.14,7.381902,320.0,33.106712,,,0.01968505,2017072
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170801,59.0,95.0,77.18,6.71082,320.0,51.002232,,,0.0,2017080
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170504,31.1,69.98,51.08,7.381902,320.0,23.935258,,,0.0,2017050
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170526,32.0,60.08,45.5,8.500372,320.0,63.081708,,,0.14173236,2017052
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170606,51.08,78.98,63.14,9.618842,320.0,31.988242,,,0.03149608,2017060
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170625,48.02,78.98,62.06,9.395148,320.0,23.040482,,,0.0,2017062
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170705,48.92,93.02,72.5,6.487126,320.0,27.066974,,,0.0,2017070
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170717,53.96,91.04,74.66,7.605596,320.0,29.974996,,,0.0,2017071
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170721,55.94,87.08,70.16,7.605596,320.0,29.974996,,,0.01968505,2017072
RAWLINS MUNI AP,WY,41.8056,-107.1997,2053.1,20170830,46.94,87.98,69.08,4.697574,320.0,46.080964,,,0.0,2017083
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170718,55.04,95.0,76.82,7.158208,320.0,36.014734,0.0,0.0,0.0,2017071
CASPER NATRONA CO AP,WY,42.8975,-106.4636,1627.0,20170903,51.08,95.0,73.58,10.06623,320.0,31.093466,0.0,0.0,0.0,2017090
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170126,5.18,22.1,14.18,16.105968,310.0,35.119958,0.0,0.0,0.0,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170128,22.1,39.92,28.22,21.922012,310.0,53.910254,0.0,0.0,0.0,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170129,32.0,48.92,38.66,21.698318,310.0,48.988986,0.0,0.0,0.0,2017012
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170208,35.96,48.02,41.18,21.922012,310.0,57.04197,0.0,0.0,0.01181103,2017020
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170211,25.16,50.0,46.94,12.30317,310.0,36.014734,0.0,0.0,0.0,2017021
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170217,31.1,59.0,48.38,13.645334,310.0,38.02798,0.0,0.0,0.0,2017021
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170219,35.06,55.94,44.42,10.513618,310.0,36.90951,0.0,0.0,0.0,2017021
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170222,29.12,48.02,41.54,14.092722,310.0,38.02798,0.1181103,0.0,0.01181103,2017022
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170227,6.26,39.92,20.66,11.855782,310.0,31.093466,0.0,3.149608,0.0,2017022
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170415,39.02,66.02,51.44,14.987498,310.0,40.041226,0.0,0.0,0.0,2017041
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170426,27.14,53.06,37.22,12.750558,310.0,36.90951,0.0,0.0,0.0,2017042
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170620,50.0,91.94,71.06,9.618842,310.0,25.053728,0.0,0.0,0.0,2017062
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170719,62.96,96.98,79.16,9.395148,310.0,40.936002,0.0,0.0,0.0,2017071
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170725,60.08,84.92,75.02,11.1847,310.0,36.014734,0.0,0.0,0.0,2017072
CHEYENNE,WY,41.1519,-104.8061,1867.8,20170815,51.08,78.98,65.48,8.94776,310.0,38.02798,0.0,0.0,0.0787402,2017081
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170110,0.14,33.98,22.64,10.513618,310.0,36.014734,,,0.01181103,2017011
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170125,5.18,26.24,15.44,10.06623,310.0,21.027236,,,0.0,2017012
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170126,6.26,29.12,22.64,9.618842,310.0,23.935258,,,0.0,2017012
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170301,15.26,44.96,29.66,13.197946,310.0,40.936002,,,0.09055123,2017030
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170306,20.12,35.06,35.6,14.092722,310.0,42.949248,,,0.18110246,2017030
SHERIDAN CO AP,WY,44.7694,-106.9689,1202.4,20170316,41.0,64.94,54.5,10.513618,310.0,42.054472,,,0.0,2017031
